Park,Name,Average_Wait
adventureland,dragon slayer,10.0
adventureland,flying viking,12.0
adventureland,monster,23.0
adventureland,outlaw,7.0
adventureland,phoenix,11.0
adventureland,tornado,0.0
adventureland,underground,23.0
alton towers,galactica,31.0
alton towers,nemesis reborn,33.0
alton towers,oblivion,24.0
alton towers,octonauts rollercoaster adventure,22.0
alton towers,rita,38.0
alton towers,runaway mine train,20.0
alton towers,smiler,51.0
alton towers,spinball whizzer,30.0
alton towers,th13teen,41.0
alton towers,wicker man,46.0
animal kingdom,expedition everest,29.0
busch gardens tampa,air grover,3.0
busch gardens tampa,cheetah hunt,43.0
busch gardens tampa,cobra's curse,35.0
busch gardens tampa,iron gwazi,21.0
busch gardens tampa,kumba,9.0
busch gardens tampa,montu,17.0
busch gardens tampa,phoenix rising,12.0
busch gardens tampa,sheikra,13.0
busch gardens tampa,tigris,12.0
busch gardens williamsburg,alpengeist,5.0
busch gardens williamsburg,apollo's chariot,5.0
busch gardens williamsburg,big bad wolf: the wolf’s revenge,27.0
busch gardens williamsburg,darkoaster,15.0
busch gardens williamsburg,griffon,7.0
busch gardens williamsburg,grover's alpine express,0.0
busch gardens williamsburg,invadr,6.0
busch gardens williamsburg,loch ness monster,9.0
busch gardens williamsburg,pantheon,1.0
busch gardens williamsburg,tempesto,6.0
busch gardens williamsburg,verbolten,11.0
california's great america,demon,20.0
california's great america,flight deck,25.0
california's great america,gold striker,29.0
california's great america,grizzly,27.0
california's great america,lucy's crabbie cabbies,17.0
california's great america,patriot,14.0
california's great america,psycho mouse,34.0
california's great america,railblazer,37.0
california's great america,woodstock express,0.0
canada's wonderland,alpenfury,104.0
canada's wonderland,backlot stunt coaster,30.0
canada's wonderland,bat,24.0
canada's wonderland,behemoth,29.0
canada's wonderland,dragon fyre,8.0
canada's wonderland,flight deck,13.0
canada's wonderland,fly,27.0
canada's wonderland,ghoster coaster,24.0
canada's wonderland,leviathan,38.0
canada's wonderland,mighty canadian minebuster,21.0
canada's wonderland,silver streak,19.0
canada's wonderland,snoopy's racing railway,40.0
canada's wonderland,taxi jam,15.0
canada's wonderland,thunder run,23.0
canada's wonderland,vortex,29.0
canada's wonderland,wilde beast,13.0
canada's wonderland,wonder mountain's guardian,37.0
canada's wonderland,yukon striker,35.0
carowinds,afterburn,18.0
carowinds,carolina cyclone,10.0
carowinds,carolina goldrusher,18.0
carowinds,copperhead strike,22.0
carowinds,flying cobras,18.0
carowinds,fury 325,23.0
carowinds,hurler,12.0
carowinds,kiddy hawk,17.0
carowinds,ricochet,21.0
carowinds,snoopy’s racing railway,21.0
carowinds,thunder striker,15.0
carowinds,vortex,14.0
carowinds,wilderness run,7.0
carowinds,woodstock express,12.0
cedar point,blue streak,17.0
cedar point,cedar creek mine ride,15.0
cedar point,corkscrew,14.0
cedar point,gatekeeper,23.0
cedar point,gemini,18.0
cedar point,iron dragon,19.0
cedar point,magnum xl-200,16.0
cedar point,maverick,55.0
cedar point,millennium force,43.0
